ID;Processo;Parte;CPF;Pagamento;Observação pagamento;Órgão Judicial;Banco;Honorários Sucumbenciais;Observação Honorários;Status;Data Cadastro;Cadastrado Por;Comprovante Conta;PDF Alvará;Data Envio Financeiro;Enviado Financeiro Por;Data Envio Chefe;Enviado Chefe Por;Comprovante Recebimento;Data Finalização;Finalizado Por;Data Envio Rodrigo;Enviado Rodrigo Por
1;11111111111111111111111111111111111111111111;ASDASDASD;11111111111;R$ 11;asdasda;JFSE;CAIXA;Não;;Enviado para o Financeiro;24/07/2025 20:07;Sistema;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/11111111111111111111111111111111111111111111_comprovante_20250724_204636_Mozilla-Recovery-Key_2025-07-10_andreleonardoan%40gmail.com.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/11111111111111111111111111111111111111111111_alvara_20250724_204637_Mozilla-Recovery-Key_2025-07-10_andreleonardoan%40gmail.com.pdf;24/07/2025 20:46;Sistema;;;;;;;
2;1111111111111111111111;ANDRA;11111111111;;;;;Não;;Enviado para o Financeiro;24/07/2025 20:12;Sistema;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1111111111111111111111_comprovante_20250724_204605_horarios-1.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1111111111111111111111_alvara_20250724_204606_História de Arthur Thrennaus.pdf;24/07/2025 20:46;Sistema;;;;;;;
3;12341234;ANDRE;12346758910;;;;;Não;;Enviado para o Financeiro;24/07/2025 20:18;Sistema;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/12341234_comprovante_20250724_204429_História de Arthur Thrennaus.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/12341234_alvara_20250724_204429_Economiza_Alagoas_Manual_de_Orientação_do_Desenvolvedor_versao1.0.pdf;24/07/2025 20:44;Sistema;;;;;;;
4;4444444444;ANDREZ;54545454545;;;;;Não;;Cadastrado;25/07/2025 08:56;Sistema;;;;;;;;;;;
5;88888;RER;87878766755;;;;;Não;;Cadastrado;25/07/2025 09:08;Sistema;;;;;;;;;;;
6;5555555555555;DEDE;55555545443;;;;;Não;;Cadastrado;25/07/2025 10:46;Sistema;;;;;;;;;;;
7;8988989898989;FAFAFAF;90987876564;;;;;Não;;Cadastrado;25/07/2025 16:15;Sistema;;;;;;;;;;;
8;12345678910;JOSE LEONARDO;12456345678;R$ 10000;;TRF 5ª REGIÃO;PAN;Sim;;Finalizado;28/07/2025 09:08;victor;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/12345678910_comprovante_20250728_091022_assembleia.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/12345678910_alvara_20250728_091022_assembleia.pdf;28/07/2025 09:10;victor;;;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/12345678910_recebimento_20250728_091054_Escrita dos numerais - Educação Infantil.jpeg;28/07/2025 09:10;claudia;28/07/2025 09:10;claudia
9;123456;ANDRE LEONARDO;12345678900;R$ 2000;;JFSE;BRADESCO;Sim;;Finalizado;28/07/2025 12:51;victor;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/123456_comprovante_20250728_125214_assembleia.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/123456_alvara_20250728_125215_assembleia.pdf;28/07/2025 12:52;victor;;;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/123456_recebimento_20250801_010917_vtm_alien_hunger.pdf;01/08/2025 01:09;claudia;01/08/2025 01:08;claudia
10;1234;ABC;12345678978;R$ 1500;;TJSE;CAIXA;Sim;500,00;Finalizado;31/07/2025 17:48;victor;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1234_comprovante_20250731_175042_Declaração de isento de imposto de renda.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1234_alvara_20250731_175043_DECLARAÇÃO DE SEPARAÇÃO DE FATO.pdf;31/07/2025 17:50;victor;;;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1234_recebimento_20250731_175347_DECLARAÇÃO DE SEPARAÇÃO DE FATO.pdf;31/07/2025 17:53;claudia;31/07/2025 17:53;claudia
11;1111111111111111111;ASDASDASD;12343321234;;;STF;BMG;Não;;Financeiro - Enviado para Rodrigo;01/08/2025 01:10;victor;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1111111111111111111_comprovante_20250801_011109_vtm_alien_hunger.pdf;https://raw.githubusercontent.com/leoparipiranga/capistrano_processos/main/anexos/1111111111111111111_alvara_20250801_011112_História de Arthur Thrennaus.pdf;01/08/2025 01:11;victor;;;;;;01/08/2025 01:12;claudia
