ID;Processo;Beneficiário;CPF;Descricao RPV;Assunto;Orgao Judicial;Vara;Banco;Agência;Conta;Mês Competência;Solicitar Certidão;Observações;Status;Cadastrado por;Data de Cadastro;Observações Honorários;Status Secundario;SAC Documentacao Pronta;Data SAC Documentacao;SAC Responsavel;Admin Documentacao Pronta;Data Admin Documentacao;Admin Responsavel;Validado Financeiro;Data Validacao;Validado Por;Comprovante Recebimento;Data Recebimento;Recebido Por;Comprovante Pagamento;Data Pagamento;Pago Por;Data Finalizacao;Honorarios Contratuais;HC1;HC2;Observacoes Honorarios Contratuais;Valor Saque;H Sucumbenciais;Valor Parceiro Prospector;Outros Valores;Observacoes Gerais;Forma Pagamento;Houve Destaque Honorarios;Valor Cliente;Data Cadastro;Cadastrado Por;PDF RPV;Data Comprovante Recebimento;Recebimento Por;Data Envio;Enviado Por;Valor Líquido;Observações Pagamento;Data Finalização;Finalizado Por;Valor Honorario Sucumbencial;Observacoes Valores
<<<<<<< HEAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5000123-45.2024.4.03.6109-1;João Silva;111.222.333-44;RPV 1 - Aposentadoria;;;;;;;;;;Cadastrado;admin;2025-09-28 21:09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;5000123-45.2024.4.03.6109-2;João Silva;111.222.333-44;RPV 2 - Pensão;;;;;;;;;;Cadastrado;admin;2025-09-28 21:09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5000456-78.2024.4.03.6109-1;Maria Santos;555.666.777-88;RPV 1 - Benefício;;;;;;;;;;Cadastrado;admin;2025-09-28 21:09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;5000456-78.2024.4.03.6109-2;Maria Santos;555.666.777-88;RPV 2 - Auxílio;;;;;;;;;;Cadastrado;admin;2025-09-28 21:09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5000789-90.2024.4.03.6109;Pedro Costa;999.888.777-66;RPV Único;;;;;;;;;;Cadastrado;admin;2025-09-28 21:09:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
=======;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;a;88888888888;aasda;ABONO ANUAL (13º SALARIO);TRIBUNAL REGIONAL FEDERAL 5ª REGIAO (TRF5);1ª VARA CIVEL;CEF;;;06/2025;Não;;Cadastro;;;;;Não;;;Não;;;Não;;;;;;;;;;6767.0;;;;8000.0;55.0;909.0;909.0;;Transferência;Não;4.0;29/09/2025 00:50;dev;Drive: 4_rpv_20250929_005044_calc2.pdf (ID: 1ygsPgvppYMzjdVJOcC9HXeW447d6qiPu);;;;;;;;;;
>>>>>>> b613e909aada0f0c3e3e9721b4d9e4ecab9d3cd8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;123456;JOSE LEONARDO;96963824568;RPV01;ADICIONAL NOTURNO;TRIBUNAL REGIONAL FEDERAL 5ª REGIAO (TRF5);1ª VARA CIVEL;CEF;1234.0;12345-6;08/2025;Sim;;Cadastro;;;;;Não;;;Não;;;Não;;;;;;;;;;450.0;;;;1500.0;0.0;100.0;0.0;;PIX;Sim;1050.0;29/09/2025 12:01;victor;Drive: 123456_rpv_20250929_120117_3ª Pregação- Salvação de Jesus.docx.docx.pdf (ID: 1jXdiTxfqspe8vQX34utE5jZQb0oDJKJH);;;;;;;;;;
7;999999999;JOAO GOMES;12345678900;RPV01;ABONO ANUAL (13º SALARIO);TRIBUNAL REGIONAL FEDERAL 5ª REGIAO (TRF5);1ª VARA CIVEL;CEF;11111.0;11111;08/2025;Sim;;SAC - aguardando documentação;;;;Administrativo - aguardando documentação;Não;;;Não;;;Não;;;;;;;;;;3000.0;;;;10000.0;500.0;300.0;0.0;;PIX;Não;6500.0;29/09/2025 12:12;victor;Drive: 999999999_rpv_20250929_121223_3ª Pregação- Salvação de Jesus.docx.docx.pdf (ID: 1qDpvE6liHQGqXoWiBdvPOe11P_lVyS0v);;;29/09/2025 10:39;victor;;;;;;
8;32423423;asdasd;44444444444;;ABONO ANUAL (13º SALARIO);TRIBUNAL REGIONAL FEDERAL 5ª REGIAO (TRF5);1ª VARA CIVEL;CEF;1234.0;12334;10/2028;Sim;;Cadastro;;;;;Não;;;Não;;;Não;;;;;;;;;;0.0;;;;700.0;0.0;0.0;0.0;;PIX;Não;7000.0;29/09/2025 10:16;dev;Drive: 32423423_rpv_20250929_101648_extra.pdf (ID: 1LRfXfsYUlZBASBcHMI19L0BSphK1BS5c);;;;;;;;;;
