Data_Exclusao,Usuario,Tipo_Processo,Numero_Processo,Beneficiario,CPF,Status,Valor,Dados_Completos
19/08/2025 22:26:30,Sistema-Teste,Teste,TESTE-001,Teste Sistema,000.000.000-00,Teste,"R$ 1.000,00","{'Processo': '0000000-00.0000.0.00.0000', 'Beneficiário': 'Teste Sistema', 'CPF': '000.000.000-00', 'Status': 'Teste', 'Valor': 'R$ 1.000,00'}"
29/08/2025 17:03:26,admin,Benefício,123456,,12345678910,Implantado,,"{'Nº DO PROCESSO': '123456', 'CPF': '12345678910', 'DETALHE PROCESSO': '', 'LOAS': nan, 'DATA DA CONCESSÃO DA LIMINAR': '', 'PROVÁVEL PRAZO FATAL PARA CUMPRIMENTO': '', 'PARTE': 'MEU NOME É TESTE', 'OBSERVAÇÕES': '', 'Status': 'Implantado', 'ID': 783, 'linhas': '', 'Data Cadastro': '29/08/2025 17:02', 'Cadastrado Por': 'admin', 'Data Envio Administrativo': '', 'Enviado Administrativo Por': '', 'Implantado': '', 'Data Implantação': '29/08/2025 17:03', 'Implantado Por': 'admin', 'Benefício Verificado': '', 'Percentual Cobrança': '', 'Data Envio Financeiro': '', 'Enviado Financeiro Por': '', 'Tipo Pagamento': 'À vista', 'Comprovante Pagamento': nan, 'Valor Pago': nan, 'Data Finalização': '', 'Finalizado Por': '', 'TIPO DE PROCESSO': 'AUXILIO-ALIMENTACAO', 'Valor do Benefício': nan, 'ASSUNTO': 'AUXILIO-ALIMENTACAO', 'PERCENTUAL COBRADO': '30.0%', 'Numero Parcelas': 1.0, 'Valor Total Honorarios': '', 'Valor Parcela': '', 'Todas_Parcelas_Pagas': 'Não', 'Parcela_1_Status': 'Pendente', 'Parcela_1_Data_Pagamento': '', 'Parcela_1_Comprovante': '', 'Parcela_2_Status': 'Pendente', 'Parcela_2_Data_Pagamento': '', 'Parcela_2_Comprovante': '', 'Parcela_3_Status': 'Pendente', 'Parcela_3_Data_Pagamento': '', 'Parcela_3_Comprovante': '', 'Parcela_5_Status': 'Pendente', 'Parcela_5_Data_Pagamento': '', 'Parcela_5_Comprovante': '', 'Parcela_4_Status': 'Pendente', 'Parcela_4_Data_Pagamento': '', 'Parcela_4_Comprovante': '', 'Data Envio SAC': '', 'Enviado SAC Por': '', 'Cliente Contatado': '', 'Data Contato SAC': '', 'Contatado Por': '', 'Parcela_6_Status': 'Pendente', 'Parcela_6_Comprovante': '', 'Parcela_6_Data_Pagamento': '', 'Parcela_7_Status': 'Pendente', 'Parcela_7_Comprovante': '', 'Parcela_7_Data_Pagamento': '', 'Parcela_8_Status': 'Pendente', 'Parcela_8_Comprovante': '', 'Parcela_8_Data_Pagamento': '', 'Parcela_9_Status': 'Pendente', 'Parcela_9_Comprovante': '', 'Parcela_9_Data_Pagamento': '', 'Parcela_10_Status': 'Pendente', 'Parcela_10_Comprovante': '', 'Parcela_10_Data_Pagamento': '', 'Parcela_11_Status': 'Pendente', 'Parcela_11_Comprovante': '', 'Parcela_11_Data_Pagamento': '', 'Parcela_12_Status': 'Pendente', 'Parcela_12_Comprovante': '', 'Parcela_12_Data_Pagamento': ''}"
29/08/2025 17:03:42,Sistema-Teste,Teste,TESTE-001,Teste Sistema,000.000.000-00,Teste,"R$ 1.000,00","{'Processo': '0000000-00.0000.0.00.0000', 'Beneficiário': 'Teste Sistema', 'CPF': '000.000.000-00', 'Status': 'Teste', 'Valor': 'R$ 1.000,00'}"
31/08/2025 10:12:45,admin,RPV,888888,andre,9090909999,Finalizado,,"{'Processo': 888888, 'Beneficiário': 'andre', 'CPF': 9090909999, 'Valor RPV': nan, 'Observações': nan, 'Solicitar Certidão': 'Sim', 'Status': 'Finalizado', 'ID': 1, 'Data Cadastro': '26/08/2025 18:10', 'Cadastrado Por': 'admin', 'PDF RPV': nan, 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': 'Arquivo anexado', 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Sim', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'ABONO ANUAL (13º SALARIO)', 'Mês Competência': nan, 'Documentação Organizada': 'Sim', 'Valor Líquido': 123123.0, 'Observações Pagamento': nan, 'Orgao Judicial': 'GOVERNO DO ESTADO DE MINAS GERAIS', 'Banco': nan, 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:48,admin,RPV,123456789,CARLOS JOSE,12345678900,Finalizado,,"{'Processo': 123456789, 'Beneficiário': 'CARLOS JOSE', 'CPF': 12345678900, 'Valor RPV': 50000.0, 'Observações': nan, 'Solicitar Certidão': 'Sim', 'Status': 'Finalizado', 'ID': 2, 'Data Cadastro': '26/08/2025 18:38', 'Cadastrado Por': 'admin', 'PDF RPV': 'Drive: 123456789_rpv_20250826_183814_322354272025CAC.pdf (ID: 1tvoXTHB3K9bL5oTqh9rSNra6eczuCXpL)', 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': 'Arquivo anexado', 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Sim', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'APOSENTADORIA ESPECIAL', 'Mês Competência': '26/08/2025', 'Documentação Organizada': 'Sim', 'Valor Líquido': 10000.0, 'Observações Pagamento': nan, 'Orgao Judicial': 'GOVERNO DO ESTADO DE MINAS GERAIS', 'Banco': nan, 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:48,admin,RPV,123456,JOSE JOAO,78945612311,Aguardando Pagamento,,"{'Processo': 123456, 'Beneficiário': 'JOSE JOAO', 'CPF': 78945612311, 'Valor RPV': 2000.0, 'Observações': nan, 'Solicitar Certidão': 'Não', 'Status': 'Aguardando Pagamento', 'ID': 3, 'Data Cadastro': '26/08/2025 20:44', 'Cadastrado Por': 'victor', 'PDF RPV': 'Drive: 123456_rpv_20250826_204436_Aula - Planejamento OrÃ_Â§amentÃ_Â¡rio.pdf (ID: 1cwPLZWYUcOC8x0m3J6zRF0fV0u5JKYUB)', 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': nan, 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Não', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'APOSENTADORIA POR INVALIDEZ', 'Mês Competência': '25/08/2025', 'Documentação Organizada': 'Sim', 'Valor Líquido': nan, 'Observações Pagamento': nan, 'Orgao Judicial': 'TRIBUNAL DE JUSTICA DE MINAS GERAIS (TJMG)', 'Banco': nan, 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:48,admin,RPV,987654321,JOELMA DO CALIPSO,12345678900,Aguardando Pagamento,,"{'Processo': 987654321, 'Beneficiário': 'JOELMA DO CALIPSO', 'CPF': 12345678900, 'Valor RPV': 2000.0, 'Observações': nan, 'Solicitar Certidão': 'Não', 'Status': 'Aguardando Pagamento', 'ID': 4, 'Data Cadastro': '26/08/2025 20:48', 'Cadastrado Por': 'victor', 'PDF RPV': 'Drive: 987654321_rpv_20250826_204840_Aula - Planejamento OrÃ_Â§amentÃ_Â¡rio.pdf (ID: 1gyUwPi-xgnV1r4pyE7cTWky0bzxZB0uf)', 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': nan, 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Não', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'APOSENTADORIA POR IDADE', 'Mês Competência': '25/08/2025', 'Documentação Organizada': 'Sim', 'Valor Líquido': nan, 'Observações Pagamento': nan, 'Orgao Judicial': 'GOVERNO DO ESTADO DE MINAS GERAIS', 'Banco': nan, 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:48,admin,RPV,123123123,victr,12312312312,Aguardando Certidão,,"{'Processo': 123123123, 'Beneficiário': 'victr', 'CPF': 12312312312, 'Valor RPV': nan, 'Observações': nan, 'Solicitar Certidão': 'Sim', 'Status': 'Aguardando Certidão', 'ID': 5, 'Data Cadastro': '28/08/2025 08:38', 'Cadastrado Por': 'victor', 'PDF RPV': 'Drive: 123123123_rpv_20250828_083826_Desafio — Sistema de Relatório de Ocorrência Policial ROP.pdf (ID: 1j9J9ufDk-JTgf9VRTYBfNC87hZDnGgtU)', 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': nan, 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Não', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'ADICIONAL NOTURNO', 'Mês Competência': nan, 'Documentação Organizada': 'Sim', 'Valor Líquido': nan, 'Observações Pagamento': nan, 'Orgao Judicial': 'INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL', 'Banco': 'CEF', 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:48,admin,RPV,123123,teste,12321232123,Enviado ao Financeiro,,"{'Processo': 123123, 'Beneficiário': 'teste', 'CPF': 12321232123, 'Valor RPV': nan, 'Observações': nan, 'Solicitar Certidão': 'Sim', 'Status': 'Enviado ao Financeiro', 'ID': 6, 'Data Cadastro': '28/08/2025 10:20', 'Cadastrado Por': 'victor', 'PDF RPV': nan, 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': nan, 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Não', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'AUXILIO-ACIDENTE', 'Mês Competência': '13/08/2025', 'Documentação Organizada': nan, 'Valor Líquido': nan, 'Observações Pagamento': nan, 'Orgao Judicial': 'GOVERNO DO ESTADO DE MINAS GERAIS', 'Banco': 'BB', 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
31/08/2025 10:12:51,admin,RPV,1212,qweqwe,12312312343,Enviado ao Financeiro,,"{'Processo': 1212, 'Beneficiário': 'qweqwe', 'CPF': 12312312343, 'Valor RPV': nan, 'Observações': nan, 'Solicitar Certidão': 'Sim', 'Status': 'Enviado ao Financeiro', 'ID': 7, 'Data Cadastro': '28/08/2025 10:22', 'Cadastrado Por': 'victor', 'PDF RPV': nan, 'Data Envio': nan, 'Enviado Por': nan, 'Certidão Anexada': nan, 'Data Certidão': nan, 'Anexado Certidão Por': nan, 'Data Envio Rodrigo': nan, 'Enviado Rodrigo Por': nan, 'Comprovante Saque': nan, 'Comprovante Pagamento': nan, 'Valor Final Escritório': nan, 'Data Finalização': nan, 'Finalizado Por': nan, 'Certidão no Korbil': 'Não', 'Documentação Cliente OK': 'Não', 'Observações Valor': nan, 'Assunto': 'ABONO ANUAL (13º SALARIO)', 'Mês Competência': nan, 'Documentação Organizada': nan, 'Valor Líquido': nan, 'Observações Pagamento': nan, 'Orgao Judicial': 'GOVERNO DO ESTADO DE MINAS GERAIS', 'Banco': 'CEF', 'Status Secundario': nan, 'SAC Documentacao Pronta': nan, 'Data SAC Documentacao': nan, 'SAC Responsavel': nan, 'Admin Documentacao Pronta': nan, 'Data Admin Documentacao': nan, 'Admin Responsavel': nan, 'Validado Financeiro': nan, 'Data Validacao': nan, 'Validado Por': nan, 'Comprovante Recebimento': nan, 'Data Comprovante Recebimento': nan, 'Recebimento Por': nan, 'Data Recebimento': '', 'Recebido Por': '', 'Data Pagamento': '', 'Pago Por': '', 'Data Finalizacao': ''}"
